,Order_ID,Customer_ID,order,ship_id,shipping,cons
26,O126,B126,2021-04-30 04:07:33,SH106,2021-05-05 04:07:33,CW126
27,O127,B127,2021-08-06 15:47:20,SH107,2021-08-11 15:47:20,CW127
28,O128,B128,2021-04-18 18:04:30,SH108,2021-04-23 18:04:30,CW128
29,O129,B129,2021-01-17 02:04:03,SH109,2021-01-22 02:04:03,CW129
30,O130,B130,2021-02-13 13:59:22,SH110,2021-02-18 13:59:22,CW130
31,O131,B131,2021-10-24 19:52:34,SH111,2021-10-29 19:52:34,CW131
32,O132,B132,2021-08-03 03:45:44,SH112,2021-08-08 03:45:44,CW132
33,O133,B133,2021-07-02 06:21:19,SH113,2021-07-07 06:21:19,CW133
34,O134,B134,2021-10-26 19:55:28,SH114,2021-10-31 19:55:28,CW134
35,O135,B135,2021-05-29 02:41:37,SH115,2021-06-03 02:41:37,CW135
36,O136,B136,2021-12-07 07:42:21,SH116,2021-12-12 07:42:21,CW136
37,O137,B137,2021-11-28 10:01:06,SH117,2021-12-03 10:01:06,CW137
38,O138,B138,2021-09-11 00:25:17,SH118,2021-09-16 00:25:17,CW138
39,O139,B139,2021-12-25 07:28:41,SH119,2021-12-30 07:28:41,CW139
40,O140,B140,2021-01-09 11:11:51,SH100,2021-01-14 11:11:51,CW140
41,O141,B141,2021-09-24 04:55:56,SH101,2021-09-29 04:55:56,CW141
42,O142,B142,2021-05-06 22:37:52,SH102,2021-05-11 22:37:52,CW142
43,O143,B143,2021-08-15 19:37:54,SH103,2021-08-20 19:37:54,CW143
44,O144,B144,2021-08-18 21:24:10,SH104,2021-08-23 21:24:10,CW144
45,O145,B145,2021-12-21 00:13:13,SH105,2021-12-26 00:13:13,CW145
46,O146,B146,2021-03-29 12:11:59,SH106,2021-04-03 12:11:59,CW146
47,O147,B147,2021-11-15 09:36:47,SH107,2021-11-20 09:36:47,CW147
48,O148,B148,2021-01-25 18:08:07,SH108,2021-01-30 18:08:07,CW148
49,O149,B149,2021-07-18 07:07:48,SH109,2021-07-23 07:07:48,CW149
50,O150,B150,2021-09-27 14:21:58,SH110,2021-10-02 14:21:58,CW150
51,O151,B151,2021-01-14 16:13:20,SH111,2021-01-19 16:13:20,CW151
52,O152,B152,2021-02-22 09:59:52,SH112,2021-02-27 09:59:52,CW152
53,O153,B153,2021-11-23 03:25:50,SH113,2021-11-28 03:25:50,CW153
54,O154,B154,2021-12-20 22:47:51,SH114,2021-12-25 22:47:51,CW154
55,O155,B155,2021-03-14 16:23:14,SH115,2021-03-19 16:23:14,CW155
56,O156,B156,2021-12-26 22:17:53,SH116,2021-12-31 22:17:53,CW156
57,O157,B157,2021-07-18 16:25:14,SH117,2021-07-23 16:25:14,CW157
58,O158,B158,2021-05-27 05:10:37,SH118,2021-06-01 05:10:37,CW158
59,O159,B159,2021-11-01 07:43:03,SH119,2021-11-06 07:43:03,CW159
60,O160,B160,2021-03-15 19:52:21,SH100,2021-03-20 19:52:21,CW160
61,O161,B161,2021-10-05 00:42:32,SH101,2021-10-10 00:42:32,CW161
62,O162,B162,2021-07-16 16:31:25,SH102,2021-07-21 16:31:25,CW162
63,O163,B163,2021-03-23 22:44:11,SH103,2021-03-28 22:44:11,CW163
64,O164,B164,2021-07-11 15:48:18,SH104,2021-07-16 15:48:18,CW164
65,O165,B165,2021-08-23 02:12:45,SH105,2021-08-28 02:12:45,CW165
66,O166,B166,2021-03-26 05:30:55,SH106,2021-03-31 05:30:55,CW166
67,O167,B167,2021-11-26 00:19:00,SH107,2021-12-01 00:19:00,CW167
68,O168,B168,2021-07-27 16:08:54,SH108,2021-08-01 16:08:54,CW168
69,O169,B169,2021-10-19 15:56:53,SH109,2021-10-24 15:56:53,CW169
70,O170,B170,2021-04-11 21:01:37,SH110,2021-04-16 21:01:37,CW170
71,O171,B171,2021-11-13 23:37:08,SH111,2021-11-18 23:37:08,CW171
72,O172,B172,2021-11-21 20:07:22,SH112,2021-11-26 20:07:22,CW172
73,O173,B173,2021-01-18 00:06:07,SH113,2021-01-23 00:06:07,CW173
74,O174,B174,2021-06-17 11:40:20,SH114,2021-06-22 11:40:20,CW174
75,O175,B175,2021-07-31 15:50:05,SH115,2021-08-05 15:50:05,CW175
76,O176,B176,2021-10-09 01:13:55,SH116,2021-10-14 01:13:55,CW176
77,O177,B177,2021-10-29 06:32:32,SH117,2021-11-03 06:32:32,CW177
78,O178,B178,2021-11-30 08:39:06,SH118,2021-12-05 08:39:06,CW178
79,O179,B179,2021-03-04 02:27:40,SH119,2021-03-09 02:27:40,CW179
80,O180,B180,2021-03-14 08:21:42,SH100,2021-03-19 08:21:42,CW180
81,O181,B181,2021-04-09 00:33:00,SH101,2021-04-14 00:33:00,CW181
82,O182,B182,2021-01-27 04:53:22,SH102,2021-02-01 04:53:22,CW182
83,O183,B183,2021-03-23 21:07:13,SH103,2021-03-28 21:07:13,CW183
84,O184,B184,2021-08-28 01:02:47,SH104,2021-09-02 01:02:47,CW184
85,O185,B185,2021-08-14 17:55:13,SH105,2021-08-19 17:55:13,CW185
86,O186,B186,2021-03-07 03:24:09,SH106,2021-03-12 03:24:09,CW186
87,O187,B187,2021-08-16 16:37:30,SH107,2021-08-21 16:37:30,CW187
88,O188,B188,2021-02-03 06:02:12,SH108,2021-02-08 06:02:12,CW188
89,O189,B189,2021-10-28 17:43:04,SH109,2021-11-02 17:43:04,CW189
90,O190,B190,2021-08-23 15:34:48,SH110,2021-08-28 15:34:48,CW190
91,O191,B191,2021-05-16 21:03:21,SH111,2021-05-21 21:03:21,CW191
92,O192,B192,2021-12-02 14:54:37,SH112,2021-12-07 14:54:37,CW192
93,O193,B193,2021-02-12 05:16:11,SH113,2021-02-17 05:16:11,CW193
94,O194,B194,2021-03-03 13:28:41,SH114,2021-03-08 13:28:41,CW194
95,O195,B195,2021-04-01 23:30:40,SH115,2021-04-06 23:30:40,CW195
96,O196,B196,2021-12-26 21:16:27,SH116,2021-12-31 21:16:27,CW196
97,O197,B197,2021-08-20 18:29:27,SH117,2021-08-25 18:29:27,CW197
98,O198,B198,2021-12-04 23:03:41,SH118,2021-12-09 23:03:41,CW198
99,O199,B199,2021-03-28 07:02:38,SH119,2021-04-02 07:02:38,CW199
