,Customer_ID,Product_ID,Ratings
252,C191,P179,3
253,C172,P212,3
254,C190,P148,1
255,C134,P249,3
256,C130,P127,3
257,C177,P215,5
258,C150,P113,5
259,C140,P108,3
260,C146,P149,1
261,C146,P194,2
262,C157,P110,1
263,C184,P209,2
264,C155,P165,3
265,C111,P211,3
266,C168,P224,1
267,C132,P211,4
268,C187,P110,4
269,C152,P236,1
270,C155,P148,1
271,C176,P109,3
272,C102,P194,2
273,C195,P234,2
274,C119,P229,2
275,C144,P237,5
276,C115,P200,1
277,C196,P183,1
278,C111,P247,5
279,C168,P245,2
280,C143,P166,2
281,C154,P187,4
282,C177,P129,4
283,C117,P108,3
284,C156,P156,3
285,C182,P244,2
286,C109,P227,2
287,C164,P223,5
288,C148,P233,2
289,C128,P151,4
290,C104,P125,4
291,C132,P159,1
292,C140,P208,4
293,C161,P105,1
294,C141,P144,4
295,C142,P213,3
296,C134,P238,4
297,C111,P168,1
298,C139,P188,5
299,C107,P125,3
300,C113,P208,3
301,C112,P244,5
302,C187,P176,1
303,C157,P114,2
304,C127,P211,3
305,C159,P187,5
306,C159,P249,4
307,C100,P133,2
308,C180,P211,3
309,C106,P173,4
310,C142,P181,5
311,C173,P203,3
312,C200,P249,2
313,C114,P170,2
314,C178,P245,5
315,C121,P193,5
316,C198,P223,1
317,C114,P123,2
318,C161,P230,4
319,C100,P186,2
320,C167,P187,4
321,C150,P115,2
322,C101,P217,3
323,C176,P249,2
324,C192,P150,1
325,C171,P151,1
326,C181,P172,2
327,C191,P172,5
328,C114,P191,5
329,C154,P121,3
330,C179,P182,5
331,C183,P241,4
332,C119,P234,3
333,C135,P128,4
334,C157,P210,5
335,C124,P123,5
336,C140,P141,2
337,C144,P246,5
338,C171,P160,5
339,C161,P193,1
340,C137,P242,1
341,C144,P149,2
342,C102,P212,1
343,C193,P224,2
344,C196,P246,5
345,C146,P184,1
346,C145,P153,2
347,C173,P109,4
348,C164,P147,4
349,C108,P227,5
350,C180,P216,1
351,C102,P175,4
352,C169,P205,5
353,C100,P121,3
354,C119,P216,2
355,C159,P235,2
356,C118,P210,5
357,C171,P176,4
358,C140,P202,5
359,C158,P108,5
360,C158,P195,5
361,C144,P163,1
362,C176,P218,2
363,C170,P126,2
364,C173,P153,1
365,C169,P150,3
366,C102,P216,1
367,C144,P113,1
368,C164,P209,3
369,C181,P128,5
370,C141,P158,1
371,C123,P122,1
372,C119,P153,2
373,C112,P105,2
374,C153,P237,3
375,C115,P216,5
376,C132,P104,1
377,C123,P244,3
378,C156,P207,4
379,C179,P190,4
380,C167,P182,5
381,C195,P106,1
382,C166,P175,1
383,C172,P223,3
384,C163,P146,1
385,C157,P103,4
386,C169,P202,4
387,C184,P194,1
388,C140,P227,1
389,C160,P187,5
390,C147,P169,3
391,C139,P223,4
392,C115,P184,1
393,C110,P161,4
394,C149,P109,1
395,C100,P107,3
396,C124,P174,4
397,C165,P231,5
398,C196,P107,2
399,C141,P131,5
400,C119,P159,3
401,C159,P224,3
402,C113,P213,5
403,C192,P170,4
404,C149,P102,2
405,C159,P247,4
406,C113,P204,1
407,C122,P206,2
408,C143,P248,5
409,C180,P176,3
410,C110,P167,5
411,C105,P223,5
412,C126,P214,4
413,C136,P127,5
414,C122,P225,1
415,C171,P228,4
416,C116,P126,1
417,C116,P121,3
418,C111,P212,5
419,C175,P168,3
420,C169,P247,1
421,C139,P206,3
422,C130,P168,5
423,C170,P114,5
424,C160,P212,4
425,C144,P168,5
426,C173,P180,2
427,C120,P154,3
428,C147,P112,3
429,C115,P218,5
430,C125,P173,5
431,C114,P180,4
432,C121,P175,2
433,C198,P248,4
434,C121,P114,1
435,C107,P157,3
436,C157,P222,4
437,C103,P119,1
438,C100,P191,2
439,C186,P177,4
440,C133,P250,5
441,C175,P148,2
442,C109,P244,2
443,C181,P106,4
444,C169,P129,3
445,C118,P107,2
446,C197,P101,3
447,C169,P103,2
448,C109,P165,3
449,C116,P226,4
450,C166,P151,2
451,C111,P205,3
452,C191,P160,4
453,C188,P207,5
454,C190,P242,3
455,C128,P205,1
456,C198,P241,1
457,C163,P172,2
458,C145,P162,1
459,C118,P197,3
460,C118,P193,1
461,C117,P227,5
462,C110,P130,4
463,C196,P247,1
464,C191,P208,3
465,C116,P115,3
466,C129,P119,5
467,C169,P243,5
468,C173,P234,4
469,C194,P143,5
470,C134,P234,5
471,C161,P248,1
472,C174,P214,3
473,C117,P123,2
474,C155,P156,4
475,C105,P128,1
476,C164,P230,3
477,C200,P165,1
478,C162,P163,2
479,C198,P192,2
480,C149,P158,3
481,C123,P239,5
482,C105,P240,2
483,C114,P143,3
484,C118,P134,2
485,C120,P195,4
486,C185,P206,4
487,C194,P120,5
488,C153,P131,5
489,C153,P153,1
490,C104,P227,2
491,C136,P172,2
492,C172,P134,4
493,C111,P240,4
494,C184,P100,1
495,C162,P210,2
496,C193,P128,5
497,C104,P192,3
498,C195,P226,3
499,C133,P161,5
500,C130,P222,5
501,C166,P196,1
502,C199,P207,5
503,C173,P220,5
504,C146,P129,4
505,C126,P195,2
506,C125,P107,3
507,C156,P159,3
508,C143,P202,4
509,C131,P194,2
510,C179,P108,1
511,C171,P245,4
512,C138,P236,3
513,C182,P226,2
514,C170,P206,5
515,C157,P152,5
516,C139,P164,1
517,C196,P169,1
518,C145,P143,3
519,C151,P196,3
520,C108,P234,3
521,C176,P101,2
522,C126,P156,3
523,C156,P192,2
524,C181,P246,2
525,C153,P229,3
526,C193,P154,1
527,C138,P204,2
528,C181,P199,4
529,C170,P103,4
530,C175,P192,3
531,C107,P117,1
532,C147,P138,5
533,C108,P204,2
534,C130,P209,4
535,C132,P120,4
536,C186,P185,3
537,C192,P181,2
538,C176,P187,4
539,C139,P194,3
540,C159,P218,5
541,C104,P225,3
542,C152,P105,3
543,C114,P101,5
544,C126,P127,3
545,C126,P185,3
546,C136,P214,2
547,C110,P198,5
548,C142,P176,5
549,C119,P181,1
550,C197,P217,2
551,C200,P202,1
552,C169,P212,1
553,C169,P184,2
554,C189,P197,1
555,C121,P138,1
556,C193,P148,1
557,C122,P148,4
558,C148,P144,5
559,C200,P191,3
560,C154,P240,2
561,C192,P167,2
562,C111,P136,2
563,C145,P188,4
564,C181,P157,3
565,C131,P108,5
566,C149,P139,5
567,C132,P192,5
568,C189,P140,5
569,C118,P194,3
570,C133,P100,5
571,C178,P245,2
572,C136,P228,2
573,C113,P206,4
574,C199,P180,3
575,C186,P130,2
576,C146,P238,1
577,C158,P121,2
578,C102,P181,5
579,C164,P115,5
580,C171,P124,4
581,C123,P152,5
582,C165,P231,1
583,C180,P146,3
584,C181,P193,4
585,C144,P247,3
586,C101,P170,2
587,C164,P111,4
588,C165,P124,5
589,C105,P106,2
590,C181,P166,3
591,C185,P204,5
592,C179,P151,4
593,C101,P167,2
594,C169,P214,3
595,C161,P208,3
596,C159,P227,1
597,C161,P239,3
598,C109,P183,4
599,C176,P178,3
600,C133,P111,5
601,C183,P173,5
602,C121,P177,4
603,C176,P208,3
604,C118,P178,3
605,C158,P160,1
606,C126,P107,2
607,C178,P216,4
608,C179,P196,1
609,C182,P146,4
610,C142,P213,5
611,C191,P176,4
612,C154,P232,1
613,C113,P172,4
614,C162,P119,4
615,C197,P117,3
616,C116,P248,1
617,C194,P131,4
618,C193,P113,3
619,C183,P152,4
620,C101,P233,1
621,C175,P205,2
622,C129,P166,4
623,C172,P193,1
624,C102,P235,4
625,C160,P144,3
626,C161,P226,2
627,C106,P116,4
628,C126,P174,3
629,C122,P178,3
630,C150,P178,5
631,C137,P198,3
632,C144,P167,3
633,C132,P234,5
634,C186,P108,5
635,C139,P166,2
636,C115,P205,2
637,C198,P207,2
638,C145,P186,3
639,C106,P164,4
640,C118,P168,2
641,C107,P238,3
642,C194,P134,2
643,C100,P243,4
644,C102,P155,4
645,C112,P221,3
646,C110,P153,1
647,C180,P181,1
648,C155,P201,3
649,C162,P112,4
650,C132,P233,4
651,C111,P129,2
652,C118,P107,3
653,C172,P156,5
654,C194,P224,1
655,C130,P237,3
656,C112,P233,2
657,C108,P243,1
658,C181,P217,4
659,C136,P148,3
660,C148,P245,3
661,C193,P218,5
662,C182,P181,3
663,C129,P139,1
664,C100,P183,3
665,C135,P211,1
666,C119,P233,1
667,C132,P247,1
668,C167,P183,5
669,C191,P229,3
670,C183,P227,1
671,C182,P179,3
672,C143,P105,5
673,C187,P123,4
674,C143,P145,3
675,C122,P181,5
676,C101,P122,1
677,C113,P118,5
678,C150,P248,2
679,C183,P150,2
680,C137,P111,2
681,C160,P185,3
682,C181,P238,4
683,C129,P110,1
684,C198,P208,1
685,C184,P148,4
686,C134,P208,5
687,C120,P103,2
688,C144,P238,3
689,C188,P174,5
690,C103,P183,4
691,C179,P150,4
692,C115,P150,1
693,C180,P103,5
694,C103,P238,1
695,C179,P187,1
696,C128,P164,3
697,C129,P143,1
698,C156,P195,2
699,C158,P240,1
700,C154,P103,4
701,C149,P103,5
702,C115,P227,1
703,C165,P100,1
704,C105,P215,5
705,C134,P114,3
706,C145,P160,5
707,C169,P122,3
708,C123,P226,4
709,C194,P204,5
710,C194,P219,1
711,C158,P211,1
712,C117,P157,3
713,C174,P170,3
714,C106,P156,3
715,C180,P171,4
716,C149,P147,3
717,C164,P163,5
718,C106,P138,1
719,C181,P216,2
720,C191,P102,2
721,C199,P109,5
722,C156,P124,1
723,C144,P181,4
724,C103,P155,4
725,C109,P156,2
726,C180,P205,2
727,C191,P243,2
728,C117,P116,4
729,C104,P223,1
730,C172,P214,3
731,C131,P207,4
732,C136,P198,3
733,C101,P188,4
734,C187,P179,4
735,C135,P207,3
736,C197,P242,5
737,C105,P225,1
738,C154,P195,1
739,C160,P189,1
740,C118,P204,2
741,C134,P120,3
742,C120,P186,4
743,C168,P156,3
744,C105,P148,3
745,C101,P193,2
746,C154,P139,2
747,C185,P246,4
748,C198,P183,2
749,C179,P220,4
750,C150,P115,2
751,C143,P106,4
752,C124,P222,5
753,C174,P218,5
754,C177,P141,2
755,C106,P181,3
756,C187,P216,3
757,C102,P179,3
758,C137,P213,5
759,C163,P166,1
760,C116,P152,1
761,C128,P158,1
762,C124,P228,3
